analysis_set,template,condition,n,exact_accuracy,exact_accuracy_ci95_low,exact_accuracy_ci95_high,entity_containing_accuracy,entity_containing_accuracy_ci95_low,entity_containing_accuracy_ci95_high,first_token_accuracy,first_token_accuracy_ci95_low,first_token_accuracy_ci95_high,mean_expected_entity_log_probability,mean_expected_entity_log_probability_ci95_low,mean_expected_entity_log_probability_ci95_high,mean_expected_vs_alternative_logit_margin,mean_expected_vs_alternative_logit_margin_ci95_low,mean_expected_vs_alternative_logit_margin_ci95_high
unseen_confirmatory,friend,generated_read_block,86,0.5,0.3966097232742094,0.6033902767257906,0.5116279069767442,0.4077672083537732,0.6144942289186514,0.9883720930232558,0.9370359341070826,0.9979444313347503,-0.18774165386377378,-0.2205536485740503,-0.15492965915349727,3.63953488372093,3.4069697432695225,3.8721000241723376
unseen_confirmatory,friend,full_intermediate_bottleneck,86,0.16279069767441862,0.09952131046989598,0.25489700862979064,0.16279069767441862,0.09952131046989598,0.25489700862979064,0.6976744186046512,0.5938796504460166,0.7845647831852016,-2.006564712801645,-2.315267693891334,-1.6978617317119553,0.6584302325581395,0.31773207358272726,0.9991283915335517
unseen_confirmatory,friend,early_5_7,86,0.45348837209302323,0.3525159468245965,0.558438304085705,0.45348837209302323,0.3525159468245965,0.558438304085705,0.9767441860465116,0.9191198543736794,0.9935990737957292,-0.848139401265355,-0.9346651997907531,-0.7616136027399569,1.6162790697674418,1.455332156097444,1.7772259834374398
unseen_confirmatory,friend,middle_12_14,86,0.37209302325581395,0.2774625064181545,0.4776616835851749,0.37209302325581395,0.2774625064181545,0.4776616835851749,0.9069767441860465,0.8270425887501315,0.9521077157847294,-1.1717914067382036,-1.3395777194787803,-1.0040050939976268,1.569767441860465,1.3506653005872895,1.7888695831336405
unseen_confirmatory,friend,later_middle_19_21,86,0.2558139534883721,0.17543075268015518,0.35707906459892824,0.2558139534883721,0.17543075268015518,0.35707906459892824,0.7906976744186046,0.6932340925568325,0.8633018392537823,-1.7376860186111096,-2.007009293966882,-1.4683627432553374,0.9607558139534884,0.6533612860009574,1.2681503419060194
unseen_confirmatory,friend,sparse_union,86,0.46511627906976744,0.3634587154004887,0.5697569727822375,0.46511627906976744,0.3634587154004887,0.5697569727822375,1.0,0.9572418027142576,0.9999999999999999,-0.47091030225504277,-0.5181485208937833,-0.4236720836163023,2.324127906976744,2.161323340194228,2.4869324737592606
unseen_confirmatory,friend,late_negative_30_32,86,0.20930232558139536,0.1366981607462176,0.30676590744316745,0.20930232558139536,0.1366981607462176,0.30676590744316745,0.7325581395348837,0.6305495916710698,0.8146791537774222,-1.9273535706276117,-2.226658643847413,-1.6280484974078102,0.7398255813953488,0.40516330647501164,1.0744878563156859
unseen_confirmatory,visitor_register,clean,86,0.9883720930232558,0.9370359341070826,0.9979444313347503,0.9883720930232558,0.9370359341070826,0.9979444313347503,0.9883720930232558,0.9370359341070826,0.9979444313347503,-0.12813222759165044,-0.1589343773358515,-0.09733007784744938,3.582848837209302,3.3791347966857357,3.7865628777328686
unseen_confirmatory,visitor_register,generated_read_block,86,0.6046511627906976,0.4989772079672809,0.7013757274845405,0.6046511627906976,0.4989772079672809,0.7013757274845405,0.9883720930232558,0.9370359341070826,0.9979444313347503,-0.12813222759165044,-0.1589343773358515,-0.09733007784744938,3.582848837209302,3.3791347966857357,3.7865628777328686
unseen_confirmatory,visitor_register,full_intermediate_bottleneck,86,0.5348837209302325,0.4302430272177625,0.6365412845995112,0.5348837209302325,0.4302430272177625,0.6365412845995112,1.0,0.9572418027142576,0.9999999999999999,-0.31877700906506806,-0.3605245200693845,-0.2770294980607516,2.436046511627907,2.2709041198242805,2.601188903431533
unseen_confirmatory,visitor_register,early_5_7,86,0.5348837209302325,0.4302430272177625,0.6365412845995112,0.5348837209302325,0.4302430272177625,0.6365412845995112,1.0,0.9572418027142576,0.9999999999999999,-0.27365841231373855,-0.30924670851108566,-0.23807011611639145,2.5944767441860463,2.427088439050886,2.761865049321207
unseen_confirmatory,visitor_register,middle_12_14,86,0.5348837209302325,0.4302430272177625,0.6365412845995112,0.5348837209302325,0.4302430272177625,0.6365412845995112,1.0,0.9572418027142576,0.9999999999999999,-0.26495974987398746,-0.3030317782228353,-0.2268877215251396,2.6627906976744184,2.492890443761897,2.83269095158694
unseen_confirmatory,visitor_register,later_middle_19_21,86,0.5348837209302325,0.4302430272177625,0.6365412845995112,0.5348837209302325,0.4302430272177625,0.6365412845995112,1.0,0.9572418027142576,0.9999999999999999,-0.22830131351081437,-0.2582448813725372,-0.19835774564909153,2.8430232558139537,2.685290252136757,3.0007562594911503
unseen_confirmatory,visitor_register,sparse_union,86,0.5348837209302325,0.4302430272177625,0.6365412845995112,0.5348837209302325,0.4302430272177625,0.6365412845995112,1.0,0.9572418027142576,0.9999999999999999,-0.16898015163145785,-0.19140898692317154,-0.14655131633974416,3.135174418604651,2.9798692378361222,3.29047959937318
unseen_confirmatory,visitor_register,late_negative_30_32,86,0.5232558139534884,0.41897826794012305,0.6255446066047263,0.5232558139534884,0.41897826794012305,0.6255446066047263,1.0,0.9572418027142576,0.9999999999999999,-0.30308893756117933,-0.34063981630148266,-0.265538058820876,2.4694767441860463,2.307110919823197,2.6318425685488958
unseen_confirmatory,dialogue,clean,86,0.5,0.3966097232742094,0.6033902767257906,1.0,0.9572418027142576,0.9999999999999999,1.0,0.9572418027142576,0.9999999999999999,-0.5580518639884716,-0.6128048869905511,-0.5032988409863921,2.3401162790697674,2.1778173369941305,2.5024152211454043
unseen_confirmatory,dialogue,generated_read_block,86,0.0,0.0,0.042758197285742226,0.5697674418604651,0.46436203379906343,0.6692065898354842,1.0,0.9572418027142576,0.9999999999999999,-0.5580518639884716,-0.6128048869905511,-0.5032988409863921,2.3401162790697674,2.1778173369941305,2.5024152211454043
unseen_confirmatory,dialogue,full_intermediate_bottleneck,86,0.0,0.0,0.042758197285742226,0.2441860465116279,0.16561965059864148,0.34462872940801736,0.6162790697674418,0.5106287727439646,0.7119855999802814,-2.061762134003085,-2.218469385267086,-1.905054882739084,0.18023255813953487,-0.03963955241399761,0.4001046686930674
unseen_confirmatory,dialogue,early_5_7,86,0.0,0.0,0.042758197285742226,0.29069767441860467,0.20532573748758295,0.3939683916087743,0.7093023255813954,0.6060316083912257,0.7946742625124171,-1.782894024668738,-1.931928682086849,-1.6338593672506267,0.502906976744186,0.2821767575457145,0.7236371959426576
unseen_confirmatory,dialogue,middle_12_14,86,0.0,0.0,0.042758197285742226,0.3023255813953488,0.21543521681479832,0.4061203495539834,0.6976744186046512,0.5938796504460166,0.7845647831852016,-1.8181085995463437,-1.9800891982623656,-1.6561280008303219,0.4636627906976744,0.2242074119963957,0.7031181693989531
unseen_confirmatory,dialogue,later_middle_19_21,86,0.0,0.0,0.042758197285742226,0.313953488372093,0.22561297202636443,0.418204031614842,0.7558139534883721,0.6553712705919826,0.8343803494013585,-1.5465927363135095,-1.6998261918459625,-1.3933592807810564,0.8706395348837209,0.6350411012720099,1.106237968495432
unseen_confirmatory,dialogue,sparse_union,86,0.0,0.0,0.042758197285742226,0.47674418604651164,0.3744553933952738,0.5810217320598771,0.9186046511627907,0.8413981733460679,0.9600135684612175,-0.9028702722212603,-1.0208558883373349,-0.7848846561051858,1.934593023255814,1.6975543522953418,2.1716316942162863
unseen_confirmatory,dialogue,late_negative_30_32,86,0.0,0.0,0.042758197285742226,0.26744186046511625,0.18532084622257786,0.36945040832893017,0.6395348837209303,0.5341068512119144,0.7330303960571808,-2.021522646726564,-2.177071660008752,-1.8659736334443757,0.24563953488372092,0.027354860876840498,0.4639242088906014
