analysis_set,template,condition,layer,mean_final_token_entity_attention,mean_final_token_entity_contribution_norm
all_100,direct_fact,early_5_7,10,0.004906172584742308,0.5754267832636834
all_100,direct_fact,early_5_7,11,0.002578555839136243,0.1477516620606184
all_100,direct_fact,early_5_7,12,0.002274155434570275,0.19319635078310968
all_100,direct_fact,early_5_7,13,0.0041004836896900085,0.1979487407952547
all_100,direct_fact,early_5_7,14,0.0063024464785121385,0.35003588780760764
all_100,direct_fact,early_5_7,15,0.0025117088062688708,0.20618271835148336
all_100,direct_fact,early_5_7,16,0.0035092622984666377,0.2059988457709551
all_100,direct_fact,early_5_7,17,0.006772447855910286,0.4234847939759493
all_100,direct_fact,early_5_7,18,0.015063333678990603,1.3383735507726668
all_100,direct_fact,early_5_7,19,0.018994373762980105,1.6815410572290421
all_100,direct_fact,early_5_7,20,0.04974789272993803,4.2017799949646
all_100,direct_fact,early_5_7,21,0.15070744566619396,17.35526333808899
all_100,direct_fact,early_5_7,22,0.04900079106912017,5.560510032176971
all_100,direct_fact,early_5_7,23,0.143998664021492,28.134596042633056
all_100,direct_fact,early_5_7,24,0.15647578097879886,37.10692226409912
all_100,direct_fact,early_5_7,25,0.027608971307054163,15.16284264087677
all_100,direct_fact,early_5_7,26,0.05683201119303703,17.23289734363556
all_100,direct_fact,early_5_7,27,0.05354426549747586,18.64746403694153
all_100,direct_fact,early_5_7,28,0.08342950388789178,47.52934471130371
all_100,direct_fact,early_5_7,29,0.0872502250224352,57.447397003173826
all_100,direct_fact,early_5_7,30,0.04775493685156107,48.52799243927002
all_100,direct_fact,early_5_7,31,0.09562272280454635,95.70422344207763
all_100,direct_fact,early_5_7,32,0.05617821760475636,111.35256093978882
all_100,direct_fact,early_5_7,33,0.09015305772423744,125.471791305542
all_100,direct_fact,early_5_7,34,0.06115067638456821,109.12868286132813
all_100,direct_fact,early_5_7,35,0.024913637079298497,15.738372659683227
all_100,direct_fact,middle_12_14,0,0.010520990649238228,0.13144008338451385
all_100,direct_fact,middle_12_14,1,0.006244885025080293,0.09027159832417965
all_100,direct_fact,middle_12_14,2,0.008615995573345572,0.11976152520626783
all_100,direct_fact,middle_12_14,3,0.014811110822483898,0.7114362740516662
all_100,direct_fact,middle_12_14,4,0.006047183533664793,0.17639973059296607
all_100,direct_fact,middle_12_14,5,0.0034553430741652846,0.17671422816812993
all_100,direct_fact,middle_12_14,6,0.0033928198856301604,0.12403470426797866
all_100,direct_fact,middle_12_14,7,0.0014075783389853314,0.11954440854489803
all_100,direct_fact,middle_12_14,8,0.002558227254776284,0.20408071860671043
all_100,direct_fact,middle_12_14,9,0.004650816940702498,0.43970451667904853
all_100,direct_fact,middle_12_14,10,0.005041544712148607,0.5987958993017674
all_100,direct_fact,middle_12_14,11,0.00270602140808478,0.1575358187034726
all_100,direct_fact,middle_12_14,12,0.0023340816382551566,0.19864198081195356
all_100,direct_fact,middle_12_14,13,0.0042529049643781035,0.20729170694947244
all_100,direct_fact,middle_12_14,14,0.006359916285146028,0.3547824782133102
all_100,direct_fact,middle_12_14,15,0.0027410435589263218,0.2233514378964901
all_100,direct_fact,middle_12_14,16,0.0038976334419567136,0.226063909009099
all_100,direct_fact,middle_12_14,17,0.0070953913684934375,0.4231157828122377
